                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.51262,                 1.2206,                0.89413,                0.94367,                0.94628,                0.96308,                0.91511,                0.36739,                0.52632,                0.79956,             0.00011762,             0.00011762,             0.00011762
                    101,                0.50803,                 1.1219,                0.86447,                 0.9453,                0.94891,                0.96308,                0.92114,                0.36331,                0.53611,                0.79889,             0.00011542,             0.00011542,             0.00011542
                    102,                0.44226,                 1.0407,                0.85083,                0.94667,                0.94666,                0.96308,                0.92103,                0.37387,                0.53484,                0.80017,             0.00011322,             0.00011322,             0.00011322
                    103,                0.45755,                 1.0304,                0.84052,                0.94883,                0.94105,                0.96308,                0.92016,                0.37229,                0.52898,                0.79881,             0.00011102,             0.00011102,             0.00011102
                    104,                0.49604,                  1.085,                0.85933,                0.95185,                0.94514,                0.96308,                0.90329,                 0.3741,                0.51282,                 0.8004,             0.00010882,             0.00010882,             0.00010882
                    105,                0.54459,                 1.2277,                0.88246,                0.95702,                0.94602,                0.96308,                0.90286,                0.38339,                0.50721,                0.80306,             0.00010663,             0.00010663,             0.00010663
                    106,                0.49588,                 1.1747,                0.86776,                0.95794,                0.94263,                0.96949,                0.91412,                0.38448,                0.50245,                0.80273,             0.00010443,             0.00010443,             0.00010443
                    107,                0.44141,                 1.1386,                0.83818,                0.95808,                0.93655,                0.96949,                0.92061,                0.37732,                0.50617,                0.80123,             0.00010223,             0.00010223,             0.00010223
                    108,                0.45783,                 1.1369,                0.84512,                0.96514,                0.93092,                 0.9663,                0.91993,                0.38145,                0.50853,                0.80116,             0.00010003,             0.00010003,             0.00010003
                    109,                0.48882,                 1.1358,                0.86809,                0.96388,                0.93776,                 0.9663,                0.91696,                0.39248,                 0.5042,                0.80217,             9.7835e-05,             9.7835e-05,             9.7835e-05
                    110,                  0.504,                 1.1902,                0.87951,                0.95678,                0.95233,                0.96949,                0.91517,                0.40449,                0.48529,                0.80436,             9.5638e-05,             9.5638e-05,             9.5638e-05
                    111,                0.46115,                 1.0446,                0.85655,                0.96085,                0.94947,                0.96949,                0.91778,                0.39678,                0.47411,                0.80433,              9.344e-05,              9.344e-05,              9.344e-05
                    112,                0.47583,                 1.0686,                 0.8443,                0.96017,                0.94653,                0.96949,                0.92194,                0.37817,                 0.4517,                 0.7993,             9.1242e-05,             9.1242e-05,             9.1242e-05
                    113,                0.48267,                 1.0808,                0.86227,                0.96659,                0.94391,                0.96949,                0.92253,                0.37438,                0.44888,                0.79753,             8.9044e-05,             8.9044e-05,             8.9044e-05
                    114,                0.41602,                 1.0055,                 0.8373,                0.96584,                0.94802,                0.96949,                0.91831,                0.36726,                0.44007,                0.79628,             8.6846e-05,             8.6846e-05,             8.6846e-05
                    115,                0.48148,                 1.0908,                 0.8566,                0.96653,                 0.9533,                0.96949,                0.92377,                0.36657,                0.43688,                0.79623,             8.4649e-05,             8.4649e-05,             8.4649e-05
                    116,                0.42854,                 1.0352,                0.84432,                0.96646,                0.95898,                0.96949,                0.93237,                0.35922,                 0.4419,                0.79526,             8.2451e-05,             8.2451e-05,             8.2451e-05
                    117,                0.42752,                 1.0502,                0.86402,                0.96626,                0.95819,                0.96949,                0.93416,                0.35576,                0.44158,                0.79495,             8.0253e-05,             8.0253e-05,             8.0253e-05
                    118,                0.44925,                 1.0736,                0.86067,                0.96491,                0.95863,                0.96949,                0.94085,                0.35347,                0.44077,                0.79436,             7.8055e-05,             7.8055e-05,             7.8055e-05
                    119,                0.43012,                 1.0655,                0.86515,                0.96447,                0.95889,                0.96949,                0.94216,                0.34779,                0.44287,                0.79332,             7.5857e-05,             7.5857e-05,             7.5857e-05
                    120,                0.44877,                 1.0568,                0.84734,                0.96722,                0.95822,                0.96949,                0.93809,                0.33908,                0.44314,                 0.7911,              7.366e-05,              7.366e-05,              7.366e-05
                    121,                0.46061,                 1.0597,                0.86526,                0.97061,                0.95818,                0.96949,                 0.9407,                0.34068,                0.43773,                0.79087,             7.1462e-05,             7.1462e-05,             7.1462e-05
                    122,                0.47971,                 1.0339,                0.86887,                0.97153,                0.95727,                0.96949,                0.93632,                0.34236,                0.43525,                0.79194,             6.9264e-05,             6.9264e-05,             6.9264e-05
                    123,                0.47257,                0.97516,                0.83707,                0.97155,                0.95194,                0.96949,                0.93891,                0.34136,                0.43589,                0.79242,             6.7066e-05,             6.7066e-05,             6.7066e-05
                    124,                0.41088,                0.96122,                0.87345,                0.97136,                0.94477,                0.96949,                0.93535,                0.34625,                0.43629,                0.79445,             6.4868e-05,             6.4868e-05,             6.4868e-05
                    125,                0.42724,                 1.0467,                0.83746,                0.97094,                 0.9476,                0.96949,                0.93239,                0.34865,                0.43459,                0.79627,             6.2671e-05,             6.2671e-05,             6.2671e-05
                    126,                 0.4357,                 1.0441,                0.84908,                0.97112,                0.95854,                0.96949,                0.93858,                0.34387,                0.43306,                0.79552,             6.0473e-05,             6.0473e-05,             6.0473e-05
                    127,                0.44125,                 1.0906,                0.86998,                0.97143,                0.95687,                0.96949,                0.94273,                0.34111,                 0.4305,                0.79521,             5.8275e-05,             5.8275e-05,             5.8275e-05
                    128,                0.41836,                0.99731,                0.84703,                0.97288,                0.95349,                0.96949,                 0.9394,                0.33767,                0.42724,                0.79475,             5.6077e-05,             5.6077e-05,             5.6077e-05
                    129,                0.44926,                 1.0616,                0.86778,                0.97175,                0.95273,                0.97587,                0.94752,                0.33448,                0.42779,                0.79447,             5.3879e-05,             5.3879e-05,             5.3879e-05
                    130,                0.43604,                 1.0628,                0.86172,                0.97287,                0.94942,                0.97587,                 0.9506,                0.32426,                0.42009,                0.79336,             5.1682e-05,             5.1682e-05,             5.1682e-05
                    131,                0.46486,                 1.1483,                0.85521,                0.97275,                0.94872,                0.97587,                0.95088,                0.32011,                0.41548,                0.79261,             4.9484e-05,             4.9484e-05,             4.9484e-05
                    132,                0.41586,                 1.0195,                0.83586,                0.96975,                0.95361,                0.97587,                0.95308,                0.31823,                0.40553,                0.79257,             4.7286e-05,             4.7286e-05,             4.7286e-05
                    133,                0.40301,                0.99317,                0.84761,                0.96979,                0.95476,                0.97587,                0.94982,                0.32148,                0.40452,                  0.792,             4.5088e-05,             4.5088e-05,             4.5088e-05
                    134,                0.43742,                 1.0157,                0.86741,                0.96977,                0.95704,                0.97587,                  0.947,                0.32358,                0.40033,                0.79209,              4.289e-05,              4.289e-05,              4.289e-05
                    135,                0.50465,                 1.1155,                0.86612,                0.97095,                0.95768,                0.97587,                 0.9473,                0.31801,                0.39765,                0.79145,             4.0693e-05,             4.0693e-05,             4.0693e-05
                    136,                0.41223,                 1.0252,                0.84667,                 0.9732,                0.95874,                0.96949,                0.94557,                0.31075,                0.39833,                0.79059,             3.8495e-05,             3.8495e-05,             3.8495e-05
